headword,pos,CEFR,notes
stretching,noun,C1,
continuity,noun,C1,
shambles,noun,C1,
claustrophobic,adjective,C1,
claustrophobia,noun,C1,
headstrong,adjective,C1,
tact,noun,C1,
tactful,adjective,C1,
tactfully,adverb,C1,
blister,noun,C1,
blister,verb,C1,
sponsorship,noun,C1,
ego,noun,C1,
class,verb,C1,
saloon,noun,C1,
lap,noun,C1,e.g. run a lap
beforehand,adverb,C1,
slob,noun,C1,
coverage,noun,C1,
unplug,verb,C1,
gadget,noun,C1,
rediscover,verb,C1,
subtly,adverb,C1,
brainwash,verb,C1,
brainwashing,noun,C1,
implicate,verb,C1,
craft,verb,C1,
malfunction,verb,C1,
dependent,noun,C1,
wayside,noun,C1,
expire,verb,C1,
con,verb,C1,
con,noun,C1,
puzzle,verb,C1,
damply,adverb,C1,
ghostly,adjective,C1,
carrier,noun,C1,
washtub,noun,C1,
apt,adjective,C1,
apt to,verb,C1,
portable,adjective,C1,
portable,noun,C1,
ornamental,adjective,C1,
placid,adjective,C1,
placidly,adverb,C1,
unmanageable,adjective,C1,
appliance,noun,C1,
relinquish,verb,C1,
tedious,adjective,C1,
tedium,noun,C1,
exert,verb,C1,
extortion,noun,C1,
alleviate,verb,C1,
elaborate,adjective,C1,
elaborate,verb,C1,
elaboration,noun,C1,
detest,verb,C1,
detestable,adjective,C1,
suds,noun,C1,
agreeable,adjective,C1,
prowl,verb,C1,
speculate,verb,C1,
speculation,noun,C1,
speculative,adjective,C1,
peacock,noun,C1,
disdain,noun,C1,
reenact,verb,C1,
torment,verb,C1,
torment,noun,C1,
extravagance,noun,C1,
exploit,verb,C1,
exploitation,noun,C1,
mechanism,noun,C1,
hence,adverb,C1,
offspring,noun,C1,
implicate,verb,C1,
fit,adjective,C1,appropriate
oblige,verb,C1,
drive,verb,C1,
drive,noun,C1,
collaborate,verb,C1,
collaborator,noun,C1,
collaboration,noun,C1,
collaborative,adjective,C1,
showy,adjective,C1,
wrangle,verb,C1,
premise,noun,C1,
advantageous,adjective,C1,
parasite,noun,C1,
fanciful,adjective,C1,
poise,noun,C1,
customary,adjective,C1,
insightful,adjective,C1,
notable,adjective,C1,
vicious,adjective,C1,
viciously,adverb,C1,
pupil,noun,C1,
withdrawn,adjective,C1,
withdrawal,noun,C1,
torturous,adjective,C1,
depict,verb,C1,
depiction,noun,C1,
upheaval,noun,C1,
shortlist,verb,C1,
shortlist,noun,C1,
uneventful,adjective,C1,
pertinent,adjective,C1,
pertain to,verb,C1,
daydream,noun,C1,
daydream,verb,C1,
protagonist,noun,C1,
simplicity,noun,C1,
blockbuster,noun,C1,
resonate,verb,C1,
sequel,noun,C1,
irony,noun,C1,
acidic,adjective,C1,
align,verb,C1,
alignment,noun,C1,
manipulation,noun,C1,
suitor,noun,C1,
deceit,noun,C1,
alienate,verb,C1,
persuasively,adverb,C1,
compel,verb,C1,
confinement,noun,C1,
minutiae,noun,C1,
peasant,noun,C1,
inexplicable,adjective,C1,
inexplicably,adverb,C1,
pigeon,noun,C1,
harass,verb,C1,
harassment,noun,C1,
believably,adverb,C1,
readable,adjective,C1,
cleverness,noun,C1,
persecute,verb,C1,
persecution,noun,C1,
smug,adjective,C1,
smugly,adverb,C1,
ferocious,adjective,C1,
ferociously,adverb,C1,
hostile,adjective,C1,
hostility,noun,C1,
dismay,verb,C1,
dismay,noun,C1,
methodical,adjective,C1,
ruthless,adjective,C1,
ruthlessness,noun,C1,
talkative,adjective,C1,
awe,verb,C1,
clan,noun,C1,
privileged,adjective,C1,
crumble,verb,C1,
crumb,noun,C1,
pace,verb,C1,
closeness,noun,C1,
rarity,noun,C1,
evoke,verb,C1,
repel,verb,C1,
repellant,noun,C1,
repellant,adjective,C1,
aqua,adjective,C1,
aquarium,noun,C1,
insightful,adjective,C1,
insightfully,adverb,C1,
flashback,noun,C1,
self-worth,noun,C1,
agonize,verb,C1,
cite,verb,C1,
citation,noun,C1,
recite,verb,C1,
ecstasy,noun,C1,
ecstatic,adjective,C1,
ecstatically,adverb,C1,
pleasurable,adjective,C1,
nature,noun,C1,basic quality of a noun
substantially,adverb,C1,
favorably/favourably,adverb,C1,
diversity,noun,C1,
elitist,noun,C1,
grumble,verb,C1,
rumble,verb,C1,
rumble,noun,C1,
neglectful,adjective,C1,
roundup,noun,C1,
conscientious,adjective,C1,
conscientiously,adverb,C1,
indefinite,adjective,C1,
indefinitely,adverb,C1,
atmospheric,adjective,C1,
fuse,verb,C1,
fusion,noun,C1,
robust,adjective,C1,
robustly,adverb,C1,
dismal,adjective,C1,
dismally,adverb,C1,
crave,verb,C1,
craving,noun,C1,
prospective,adjective,C1,
swap,verb,C1,
remotely,adverb,C1,
splatter,verb,C1,
automatic,verb,C1,
automatically,adverb,C1,
exhaust,verb,C1,
violet,adjective,C1,
bubbly,adjective,C1,
chaotically,adverb,C1,
apprehensive,adjective,C1,
settee,noun,C1,
trampoline,noun,C1,
stamina,noun,C1,
ploy,noun,C1,
dither,verb,C1,
overalls,noun,C1,
unison,noun,C1,
snail,noun,C1,
bliss,noun,C1,
inexhaustible,adjective,C1,
acre,noun,C1,
calf,noun,C1,young cow
heifer,noun,C1,
ewe,noun,C1,
adversary,noun,C1,
victorious,adjective,C1,
victoriously,adverb,C1,
profound,adjective,C1,
profoundly,adverb,C1,
baldly,adverb,C1,
bald,verb,C1,
bearded,adjective,C1,
professionalism,noun,C1,
artistically,adverb,C1,
popularization,noun,C1,
pendulum,noun,C1,
predecessor,noun,C1,
boast,noun,C1,
lapse,noun,C1,
ceaseless,adjective,C1,
ceaselessly,adverb,C1,
climax,noun,C1,
climactic,adjective,C1,
anticlimactic,adjective,C1,
scramble,noun,C1,
forfeit,verb,C1,
twitch,verb,C1,
twitch,noun,C1,
intellect,noun,C1,
descent,noun,C1,
shed,verb,C1,
exodus,noun,C1,
immortalize,verb,C1,
genome,noun,C1,
fraction,noun,C1,
faction,noun,C1,
physique,noun,C1,
utensil,noun,C1,
otter,noun,C1,
clammy,adjective,C1,
absolute,noun,C1,
dispense,verb,C1,
dispensable,adjective,C1,
dispensary,noun,C1,
indispensable,adjective,C1,
diverge,verb,C1,
divergence,noun,C1,
divergent,adjective,C1,
burst,noun,C1,
superficial,adjective,C1,
superficially,adverb,C1,
aesthetic,adjective,C1,
aesthetically,adverb,C1,
scrutinize/scrutinise,verb,C1,
scrutiny,noun,C1,
quip,noun,C1,
quip,verb,C1,
woo,verb,C1,
criteria,noun,C1,
plausible,adjective,C1,
plausibility,noun,C1,
plausibly,adverb,C1,
instinctive,adjective,C1,
instinctively,adverb,C1,
stylistic,adjective,C1,
stylistically,adverb,C1,
inheritance,noun,C1,
inherent,adjective,C1,
inherently,adverb,C1,
tune,verb,C1,
spontaneous,adjective,C1,
spontaneously,adverb,C1,
honk,verb,C1,
honk,noun,C1,
goose,noun,C1,
innovate,verb,C1,
innovation,noun,C1,
innovative,adjective,C1,
connoisseur,noun,C1,
abstraction,noun,C1,
tantrum,noun,C1,
institute,verb,C1,
discard,verb,C1,
fatality,noun,C1,
angle,verb,C1,
stiffen,verb,C1,
wooded,adjective,C1,
hostile,adjective,C1,
hostility,noun,C1,
flatter,verb,C1,
flattery,noun,C1,
aimless,adjective,C1,
aimlessly,adverb,C1,
meaningless,adjective,C1,
meaninglessly,adverb,C1,
candid,adjective,C1,
candidly,adverb,C1,
vitality,noun,C1,
provoke,verb,C1,
provocative,adjective,C1,
provocatively,adverb,C1,
clench,verb,C1,
haggle,verb,C1,
scorn,noun,C1,
scornful,adjective,C1,
scornfully,adverb,C1,
animatedly,adverb,C1,
obscure,verb,C1,
obscure,adjective,C1,
obscurely,adverb,C1,
elevate,verb,C1,
elevation,noun,C1,
pose,verb,C1,
tedious,adjective,C1,
tediously,adverb,C1,
succession,noun,C1,
formality,noun,C1,
jog,verb,C1,cause to remember
mountaineer,noun,C1,
pioneer,verb,C1,
pioneer,noun,C1,
quest,noun,C1,
transatlantic,adjective,C1,
rudiments,noun,C1,
rudimentary,adjective,C1,
paddle,verb,C1,
immense,adjective,C1,
immensely,adverb,C1,
advisory,adjective,C1,
trying,adjective,C1,
adrenaline,noun,C1,
tinker,verb,C1,
tinker,noun,C1,
lavatory,noun,C1,
expedition,noun,C1,
pinnacle,noun,C1,
insecure,adjective,C1,
insecurely,adverb,C1,
reassure,verb,C1,
reassurance,noun,C1,
insensitive,adjective,C1,
insensitively,adverb,C1,
profess,verb,C1,
drawback,noun,C1,
resort,verb,C1,
resort,noun,C1,course of action
oversee,verb,C1,
overseer,noun,C1,
estimation,noun,C1,
commission,verb,C1,
commission,noun,C1,
liaison,noun,C1,
stressfully,adverb,C1,
loom,verb,C1,
notwithstanding,preposition,C1,
structurally,adverb,C1,
structural,adjective,C1,
chauffer,noun,C1,
chauffer,verb,C1,
sedentary,adjective,C1,
rapport,noun,C1,
landscape,verb,C1,
consultation,noun,C1,
consultancy,noun,C1,
bloom,verb,C1,
engineer,verb,C1,
retention,noun,C1,
quarry,noun,C1,
specification,noun,C1,
contract,verb,C1,hire
contract,verb,C1,catch (as in a disease)
contractor,noun,C1,
query,verb,C1,
possessor,noun,C1,
chill,verb,C1,
chill,noun,C1,
chilly,adjective,C1,
frost,verb,C1,
frosty,adjective,C1,
frostily,adverb,C1,
man,verb,C1,
unmanned,adjective,C1,
impersonal,adjective,C1,
impersonally,adverb,C1,
impersonate,verb,C1,
impersonator,noun,C1,
impersonation,noun,C1,
buzzer,noun,C1,
desert,verb,C1,
desertion,noun,C1,
unoccupied,adjective,C1,
stuffy,adjective,C1,
stuffily,adverb,C1,
stuffiness,noun,C1,
gape,verb,C1,look at something
gape,verb,C1,be or become open
repute,verb,C1,
toughness,noun,C1,
recall,noun,C1,
recollection,noun,C1,
plumbing,noun,C1,
usher,noun,C1,
glum,adjective,C1,
glumly,adverb,C1,
gamely,adverb,C1,
dissect,verb,C1,
dissection,noun,C1,
commend,verb,C1,
commendation,noun,C1,
thereby,adverb,C1,
flick,verb,C1,
flicker,noun,C1,
unenviable,adjective,C1,
unenviably,adverb,C1,
voice,verb,C1,
tread,noun,C1,
allege,verb,C1,
allegation,noun,C1,
bribe,verb,C1,
bribe,noun,C1,
bribery,noun,C1,
inclusion,noun,C1,
inclusive,adjective,C1,
inclusively,adverb,C1,
unconvincing,adjective,C1,
unconvincingly,adverb,C1,
recharge,verb,C1,
facilitation,noun,C1,
condition,verb,C1,
conditional,adjective,C1,
conditionally,adverb,C1,
tone,verb,C1,
align,verb,C1,
alignment,noun,C1,
supple,adjective,C1,
manicure,noun,C1,
manicure,verb,C1,
pedicure,noun,C1,
facial,adjective,C1,
facial,noun,C1,
bouquet,noun,C1,
refurbish,verb,C1,
refurbishment,noun,C1,
grounds,noun,C1,outdoor area
grounds,noun,C1,coffee grounds
grounds,noun,C1,reason
ground,verb,C1,to base on something
lethargy,noun,C1,
lethargic,adjective,C1,
lethargically,adverb,C1,
stately,adjective,C1,
conserve,verb,C1,
conservatory,noun,C1,
disquieting,adjective,C1,
fiercely,adverb,C1,
grapefruit,noun,C1,
exotic,adjective,C1,
exotically,adverb,C1,
flask,noun,C1,
spacious,adjective,C1,
gourmet,adjective,C1,
gourmet,noun,C1,
rich,adjective,C1,containing a lot of fat/flavor
conjure,verb,C1,
creamy,adjective,C1,
sauna,noun,C1,
remedial,adjective,C1,
posture,noun,C1,
sedate,verb,C1,
sedately,adverb,C1,
sedate,adjective,C1,
clutch,verb,C1,
clutch,noun,C1,
stagger,verb,C1,
staggering,adjective,C1,
dutiful,adjective,C1,
dutifully,adverb,C1,
calorie,noun,C1,
firm,verb,C1,
fabulously,adverb,C1,
premise,noun,C1,
premises,noun,C1,
eclectic,adjective,C1,
eclectic,noun,C1,
eclectically,adverb,C1,
revere,verb,C1,
harbor/harbour,verb,C1,
recognizable/recognisable,adjective,C1,
recognizably/recognisably,adverb,C1,
batter,verb,C1,
battery,noun,C1,assault and battery
batter,noun,C1,pancake batter
batter,,C1,one who bats
unreliably,adverb,C1,
waterfront,noun,C1,
amply,adverb,C1,
amplification,noun,C1,
battered,adjective,C1,beat up
battered,adjective,C1,covered in batter before frying
comply,verb,C1,
compliance,noun,C1,
compliant,adjective,C1,
compliantly,adverb,C1,
blankness,noun,C1,
exuberant,adjective,C1,
exuberance,noun,C1,
exuberantly,adverb,C1,
linear,adjective,C1,
linearly,adverb,C1,
flourish,noun,C1,
flourish,verb,C1,
anchor,verb,C1,
anchored,adjective,C1,
domination,noun,C1,
dominant,adjective,C1,
dominantly,adverb,C1,
interject,verb,C1,
interjection,noun,C1,
gush,verb,C1,
gushing,adjective,C1,
gush,noun,C1,
gushingly,adverb,C1,
voracious,adjective,C1,
voraciously,adverb,C1,
sketchbook,noun,C1,
sketch,noun,C1,
prop,verb,C1,
prop,noun,C1,
imp,noun,C1,
impish,adjective,C1,
impishly,adverb,C1,
wicked,adjective,C1,
wickedly,adverb,C1,
macabre,adjective,C1,
gusto,noun,C1,
tantamount,adjective,C1,
antics,noun,C1,
lapse,noun,C1,
lapse,verb,C1,
relapse,verb,C1,
relapse,noun,C1,
impede,verb,C1,
impediment,noun,C1,
taut,adjective,C1,
tautly,adverb,C1,
jersey,noun,C1,
jersey,adjective,C1,
startling,adjective,C1,
startlingly,adverb,C1,
slack,verb,C1,
slack,noun,C1,
slack,adjective,C1,
slackly,adverb,C1,
unwavering,adjective,C1,
unwaveringly,adverb,C1,
removed,adjective,C1,
buffoon,noun,C1,
beguiling,adjective,C1,
beguilingly,adverb,C1,
blithely,adverb,C1,
stray,verb,C1,
stray,adjective,C1,
stray,noun,C1,
mythological,adjective,C1,
mythology,noun,C1,
venerate,verb,C1,
veneration,noun,C1,
ethical,adjective,C1,
ethically,adverb,C1,
heroine,noun,C1,
refreshing,adjective,C1,
refresh,verb,C1,
refreshingly,adverb,C1,
zany,adjective,C1,
devotee,noun,C1,
salve,noun,C1,
salvation,noun,C1,
salvage,verb,C1,
staccato,adjective,C1,
staccato,adverb,C1,
verve,noun,C1,
motley,adjective,C1,
preach,verb,C1,
preacher,noun,C1,
behind,preposition,C1,the cause of
continuity,noun,C1,
justly,adverb,C1,
wry,adjective,C1,
wryly,adverb,C1,
poetess,noun,C1,
confide,verb,C1,
sentient,adjective,C1,
sentiment,noun,C1,
sentimental,adjective,C1,
sentimentally,adverb,C1,
tangle,verb,C1,
tangle,noun,C1,
tangled,adjective,C1,
untangle,verb,C1,
untangled,adjective,C1,
perceptive,adjective,C1,
perceptively,adverb,C1,
outset,noun,C1,
tycoon,noun,C1,
launch,noun,C1,
engross,verb,C1,
engrossing,adjective,C1,
plague,verb,C1,
orphan,verb,C1,
detritus,noun,C1,
detriment,noun,C1,
detrimental,adjective,C1,
detrimentally,adverb,C1,
domestically,adverb,C1,
domesticate,verb,C1,
domestication,noun,C1,
eccentric,noun,C1,
eccentric,adjective,C1,
eccentrically,adverb,C1,
render,verb,C1,
rendering,noun,C1,
pathos,noun,C1,
tailor,noun,C1,
tailor,verb,C1,
personalize/personalise,verb,C1,
personalization/personalisation,noun,C1,
personification,noun,C1,
limitless,adjective,C1,
apprentice,noun,C1,
apprentice,verb,C1,
apprenticeship,noun,C1,
precision,noun,C1,
swap,verb,C1,
swap,noun,C1,
perfect,verb,C1,
silhouette,noun,C1,
nondescript,adjective,C1,
signal,verb,C1,
negligible,adjective,C1,
negligent,adjective,C1,
negligently,adverb,C1,
principally,adverb,C1,
altruism,noun,C1,
altruistic,adjective,C1,
scenario,noun,C1,
voluntary,adjective,C1,
voluntarily,adverb,C1,
reap,verb,C1,
paternal,adjective,C1,
maternal,adjective,C1,
maternalistic,adjective,C1,
paternalistic,adjective,C1,
provisions,noun,C1,foodstuffs
injustice,noun,C1,
impoverished,adjective,C1,
unsustainable,adjective,C1,
unsustainably,adverb,C1,
sustainable,adjective,C1,
sustainably,adverb,C1,
bypass,verb,C1,
imperative,adjective,C1,
imperative,noun,C1,
cynic,noun,C1,
cynical,adjective,C1,
cynically,adverb,C1,
cynicism,noun,C1,
sarcasm,noun,C1,
sarcastic,adjective,C1,
sarcastically,adverb,C1,
misplace,verb,C1,
symptomatic,adjective,C1,
degrade,verb,C1,
degrading,adjective,C1,
degradation,noun,C1,
discourse,noun,C1,
amid,preposition,C1,
hedgehog,noun,C1,
nocturnal,adjective,C1,
hibernate,verb,C1,
hibernation,noun,C1,
convict,verb,C1,
convict,noun,C1,
conviction,noun,C1,
latent,adjective,C1,
snooze,verb,C1,
classy,adjective,C1,
wrench,verb,C1,
reminisce,verb,C1,
reminiscent,adjective,C1,
intuit,verb,C1,
intuition,noun,C1,
intuitive,adjective,C1,
intuitively,adverb,C1,
marginal,adjective,C1,
marginally,adverb,C1,
crude,adjective,C1,
crudely,adverb,C1,
strap,noun,C1,
strap,verb,C1,
strapping,adjective,C1,
scoff,verb,C1,
fiddly,adjective,C1,
fiddler,noun,C1,
fiddle,verb,C1,
fiddle,noun,C1,
unmusical,adjective,C1,
unmusically,adverb,C1,
repertory,noun,C1,
concerto,noun,C1,
premier,adjective,C1,
premier,noun,C1,
fanatic,noun,C1,
fanatic,adjective,C1,
fanatically,adverb,C1,
acoustically,adverb,C1,
acoustic,adjective,C1,
acoustics,noun,C1,
compromised,adjective,C1,
daunt,verb,C1,
daunting,adjective,C1,
realist,noun,C1,
realism,noun,C1,
recess,noun,C1,part of a wall that is set back
recess,noun,C1,break-time
recessive,adjective,C1,
prolific,adjective,C1,
prolifically,adverb,C1,
proliferate,verb,C1,
fragmentation,noun,C1,
campaign,verb,C1,
astray,adverb,C1,
duration,noun,C1,
durable,adjective,C1,
durable,noun,C1,
likelihood,noun,C1,
naive,adjective,C1,
naively,adverb,C1,
naivety,noun,C1,
impervious,adjective,C1,
ludicrous,adjective,C1,
ludicrously,adverb,C1,
cost-effective,adjective,C1,
gruesome,adjective,C1,
gruesomely,adverb,C1,
envisage,verb,C1,
screenwriter,noun,C1,
mingle,verb,C1,
churn,verb,C1,
buffer,verb,C1,
buffer,noun,C1,
irate,adjective,C1,
irately,adverb,C1,
docile,adjective,C1,
docilely,adverb,C1,
fiend,noun,C1,
fiendish,adjective,C1,
fiendishly,adverb,C1,
transfix,verb,C1,
gypsy,noun,C1,
temperament,noun,C1,
temperamental,adjective,C1,
temperamentally,adverb,C1,
screenplay,noun,C1,
disillusionment,noun,C1,
demise,noun,C1,
raunchy,adjective,C1,
raunchily,adverb,C1,
overdraft,verb,C1,
overdraft,noun,C1,
synopsis,noun,C1,
renown,noun,C1,
contest,verb,C1,
contested,adjective,C1,
verandah,noun,C1,
occupational,adjective,C1,
verdict,noun,C1,
ventilate,verb,C1,
ventilation,noun,C1,
occupant,noun,C1,
radiator,noun,C1,
homely,adjective,C1,
bureaucratic,adjective,C1,
bureaucratically,adverb,C1,
adjustable,adjective,C1,
fatigue,noun,C1,
muscular,adjective,C1,
versatile,adjective,C1,
versatility,noun,C1,
stimuli,noun,C1,
uninspiring,adjective,C1,
mutually,adverb,C1,
somber/sombre,adjective,C1,
somberly/sombrely,adverb,C1,
clutter,noun,C1,
clutter,verb,C1,
lodge,verb,C1,
dislodge,verb,C1,
carpenter,noun,C1,
carpentry,noun,C1,
transit,noun,C1,
plummet,verb,C1,
circulate,verb,C1,
circulation,noun,C1,
demography,noun,C1,
demographic,adjective,C1,
demographic,noun,C1,
demographically,adverb,C1,
phenomenal,adjective,C1,
phenomenally,adverb,C1,
prophet,noun,C1,
prophetic,adjective,C1,
paywall,noun,C1,
firewall,noun,C1,
launch,noun,C1,
invoice,noun,C1,
demolition,noun,C1,
demo,noun,C1,
gig,noun,C1,
socialization,noun,C1,
antiquity,noun,C1,
antiquated,adjective,C1,
restoration,noun,C1,
restorative,adjective,C1,
rotate,verb,C1,
till,noun,C1,
coupled,adjective,C1,
itinerary,noun,C1,
charter,verb,C1,
charter,noun,C1,
terrain,noun,C1,
resilient,adjective,C1,
resilience,noun,C1,
enterprising,adjective,C1,
integral,adjective,C1,
canoe,noun,C1,
magnetic,adjective,C1,
magnetism,noun,C1,
magnetically,adverb,C1,
credible,adjective,C1,
credibly,adverb,C1,
credibility,noun,C1,
credential,noun,C1,
acutely,adverb,C1,
prohibitive,adjective,C1,
prohibitively,adverb,C1,
fissure,noun,C1,
pendulum,noun,C1,
pendulous,adjective,C1,
suspension,noun,C1,
aboard,preposition,C1,
drill,verb,C1,
drill,noun,C1,practice of what to do (e.g. in an emergency)
anthropology,noun,C1,
anthropologist,noun,C1,
squander,verb,C1,
munch,verb,C1,
adjoin,verb,C1,
adjoining,adjective,C1,
wizened,adjective,C1,
graft,verb,C1,
orchard,noun,C1,
seedling,noun,C1,
tract,noun,C1,
folktale,noun,C1,
sprout,verb,C1,
sprout,noun,C1,
hypocrisy,noun,C1,
hypocrite,noun,C1,
hypocritical,adjective,C1,
hypocritically,adverb,C1,
midwife,noun,C1,
harvest,verb,C1,
commercially,adverb,C1,
uniformity,noun,C1,
numb,adjective,C1,
numb,verb,C1,
tastebud,noun,C1,
amateur,noun,C1,
amateur,adjective,C1,
retrace,verb,C1,
chart,verb,C1,
insubordinate,adjective,C1,
insubordination,noun,C1,
insubordinately,adverb,C1,
subordinate,noun,C1,
primitively,adverb,C1,
embark,verb,C1,
expedite,verb,C1,
contextual,adjective,C1,
contextually,adverb,C1,
whilst,conjunction,C1,
maneuver/manoeuvre,verb,C1,
maneuver/manoeuvre,noun,C1,
riveting,adjective,C1,
plunge,verb,C1,
plunge,noun,C1,
debut,noun,C1,
debut,verb,C1,
turmoil,noun,C1,
scathing,adjective,C1,
unscathing,adjective,C1,
convoluted,adjective,C1,
undaunted,adjective,C1,
gutsy,adjective,C1,
deprivation,noun,C1,
farce,noun,C1,
portray,verb,C1,
portrayal,noun,C1,
elusive,adjective,C1,
elude,verb,C1,
incisor,noun,C1,
incision,noun,C1,
chisel,verb,C1,
chiselled,adjective,C1,
gnaw,verb,C1,
elongate,verb,C1,
telltale,adjective,C1,
cavity,noun,C1,
rustle,verb,C1,
rustle,noun,C1,
glean,verb,C1,
niche,noun,C1,
somersault,noun,C1,
somersault,verb,C1,
exhilarate,verb,C1,
exhilarating,adjective,C1,
exhilaration,noun,C1,
physicality,noun,C1,
hack,verb,C1,
hack,noun,C1,
lust,noun,C1,
unsettling,adjective,C1,
unsettle,verb,C1,
suburban,adjective,C1,
suburbia,noun,C1,
dramatist,noun,C1,
characterization/characterisation,noun,C1,
quirky,adjective,C1,
quirky,noun,C1,
sprawl,noun,C1,
sprawl,verb,C1,
ingenuity,noun,C1,
panorama,noun,C1,
panoramic,adjective,C1,
benign,adjective,C1,
benignly,adverb,C1,
explosively,adverb,C1,
bequeath,verb,C1,
legacy,noun,C1,
synthetic,adjective,C1,
synthetically,adverb,C1,
lackluster/lacklustre,adjective,C1,
elastic,noun,C1,
elastic,adjective,C1,
appall/appal,verb,C1,
appalling,adjective,C1,
appallingly,adverb,C1,
pounce,verb,C1,
abound,verb,C1,
sap,noun,C1,
monotonous,adjective,C1,
monotonously,adverb,C1,
monotony,noun,C1,
turn to ,verb,C1,
ingenious,adjective,C1,
plaque,noun,C1,
neutralize/neutralise,verb,C1,
neutralization/neutralisation,noun,C1,
salivate,verb,C1,
cessation,noun,C1,
remorse,noun,C1,
remorseless,adjective,C1,
remorsefully,adverb,C1,
remorselessly,adverb,C1,
inexcusable,adjective,C1,
inexcusably,adverb,C1,
inexhaustible,adjective,C1,
unassisted,adjective,C1,
heighten,verb,C1,
fixture,noun,C1,
bulk,noun,C1,
bulky,adjective,C1,
bulk up,verb,C1,
digitalize/digitalise,verb,C1,
digitalization/digitalisation,noun,C1,
mark-up,noun,C1,
complementary,adjective,C1,
complimentary,adjective,C1,
staple,noun,C1,
wares,noun,C1,
testament,noun,C1,
succulent,noun,C1,
succulent,adjective,C1,
succulently,adverb,C1,
tranquil,adjective,C1,
tranquility,noun,C1,
spartan,adjective,C1,
peninsula,noun,C1,
billiards,noun,C1,
exude,verb,C2,
envisage,verb,C2,
headmistress,noun,C2,
mien,noun,C2,
timidity,noun,C2,
unravel,verb,C2,
concurrence,noun,C2,
unpromising,adjective,C2,
teem,verb,C2,
marvel,noun,C2,
outpatient,noun,C2,
corpse,noun,C2,
apprentice,verb,C2,
constrained,adjective,C2,
quirk,verb,C2,
indignant,adjective,C2,
indignantly,adverb,C2,
eccentricity,noun,C2,
locomotive,noun,C2,
locomotion,noun,C2,
individualism,noun,C2,
enthuse,verb,C2,
belligerent,adjective,C2,
belligerence,noun,C2,
stoicism,noun,C2,
deliberate,verb,C2,
recluse,noun,C2,
reclusive,adjective,C2,
metalled,adjective,C2,
brief,noun,C2,legal term
oblique,adjective,C2,
facsimile,noun,C2,
shamble,verb,C2,
whir,verb,C2,
blight,noun,C2,
blight,verb,C2,
puritanical,adjective,C2,
brood,verb,C2,
brood,noun,C2,
disdainful,adjective,C2,
zoologist,noun,C2,
zoology,noun,C2,
encumbrance,noun,C2,
encumber,verb,C2,
hypothesis,noun,C2,
hypothesize,verb,C2,
hypothetical,adjective,C2,
parasitic,adjective,C2,
plumage,noun,C2,
utilitarian,adjective,C2,
utilize,verb,C2,
utility,noun,C2,
predilection,noun,C2,
commensurate,adjective,C2,
commensurately,adverb,C2,
vindicate,verb,C2,
vindication,noun,C2,
parable,noun,C2,
poise,verb,C2,
minster,verb,C2,
wrack,verb,C2,
ironic,adjective,C2,
predecessor,noun,C2,
ally,verb,C2,
callous,adjective,C2,
callously,adverb,C2,
derelict,adjective,C2,
derelict,noun,C2,
materialism,noun,C2,
materialistic,adjective,C2,
ferocity,noun,C2,
