headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
acquaintance,noun,B1,Personal information,,
acquire,verb,B1,,,
acquisition,noun,B2,Education,,
across,adverb,A2,,,
across,preposition,A2,,,
act,noun,A2,Hobbies and pastimes,,"Free time, entertainment"
act,verb,B1,,,
action,noun,A1,,,
active,adjective,B1,,,
actively,adverb,B2,,,
activity,noun,A1,Leisure activities,,"Free time, entertainment"
actor,noun,A1,Work and Jobs,Film,Personal identification
actress,noun,B1,Work and Jobs,Film,Personal identification
actual,adjective,B2,,,
actually,adverb,A2,,,
acute,adjective,B2,,,
ad,noun,B1,Media,,
adapt,verb,B1,,,
adaptable,adjective,B2,,,
add,verb,A1,,,
addict,noun,B2,"News, lifestyles and current affairs",,
addicted,adjective,B2,,,
addiction,noun,B2,"News, lifestyles and current affairs",,
addition,noun,A2,Collocation,,Language
additional,adjective,A2,,,
additionally,adverb,B2,,,
address,noun,A1,Personal information,,Personal identification
address,verb,B1,,,
addressee,noun,B1,,,
adequate,adjective,B2,,,
adequately,adverb,B2,,,
adjective,noun,A2,Education,,Language
adjust,verb,A2,,,
adjustment,noun,B2,,,
administration,noun,B1,Travel and services vocab,,
administrative,adjective,B2,,,
admirable,adjective,B2,,,
admiration,noun,B1,,,
admire,verb,A2,,,
admiringly,adverb,B2,,,
admission,noun,B1,Education,,
admit,verb,A2,,,
admittedly,adverb,B2,,,
adopt,verb,B1,,,
adopted,adjective,B2,,,
adoption,noun,B2,,,
adorable,adjective,B1,,,
adore,verb,B2,,,
adorn,verb,B2,,,
adult,adjective,A2,,,
adult,noun,A2,,,Personal identification
advance,noun,B2,,,
advance,verb,B1,,,
advanced,adjective,A2,,,
advancement,noun,B2,,,
advantage,noun,A2,Work and Jobs,,
advent,noun,B2,Books and literature,,
adventure,noun,A2,Books and literature,,"Free time, entertainment"
adventurous,adjective,B2,,,
adverb,noun,B1,Education,,Education
adverbial,adjective,B1,,,
adverse,adjective,B2,,,
adversely,adverb,B2,,,
adversity,noun,B2,,,
advert,noun,B1,,,
advertise,verb,B1,,,
advertisement,noun,A2,Shopping,,Services
advertising,noun,A2,Shopping,,Services
advice,noun,A2,,,
advise,verb,A2,,,
adviser/advisor,noun,B1,Education,Work and Jobs,Personal identification
aerobics,noun,B1,Hobbies and pastimes,,"Free time, entertainment"
affair,noun,A2,Work and Jobs,"News, lifestyles and current affairs",
affect,verb,B1,,,
affection,noun,B1,,,
affectionate,adjective,B2,,,
affectionately,adverb,B2,,,
afford,verb,B1,,,
affordable,adjective,B2,,,
afraid,adjective,A1,,,
after,adverb,A2,,,
after,conjunction,B1,,,
after,preposition,A1,,,
afternoon,noun,A1,,,
afterward,adverb,B1,,,
afterwards,adverb,B1,,,
again,adverb,A1,,,
against,preposition,A2,,,
age,noun,A1,Personal information,,Personal identification
aged,adjective,A2,,,
ageless,adjective,B2,,,
agency,noun,A2,Travel and services vocab,,Travel
agenda,noun,B1,Work and Jobs,,
agent,noun,A2,"Things in the town, shops and shopping",,Services
aggressive,adjective,B1,,,
aggressively,adverb,B2,,,
ago,adverb,A1,,,
agonize/agonise,verb,B2,,,
agony,noun,B2,Books and literature,,
agree,verb,A1,,,
agreement,noun,B1,Work and Jobs,,
agricultural,adjective,B1,,,
agriculture,noun,B1,Food and drink,Work and Jobs,
ahead,adverb,A2,,,
aid,noun,B1,,,
aid,verb,B1,,,
aim,noun,B1,,,
aim,verb,B2,,,
air,noun,A2,,,
air conditioning,noun,B1,Objects and rooms,,"House and home, environment"
air force,noun,B1,,,Personal identification
aircraft,noun,B2,,,
aircrew,noun,B2,Work and Jobs,,Personal identification
airline,noun,B1,Travel and services vocab,,Travel
airplane/aeroplane,noun,A1,Ways of travelling,,Travel
airport,noun,A1,Travel and services vocab,"Things in the town, shops and shopping",Travel
aisle,noun,A2,Travel and services vocab,,Travel
alarm,noun,A2,,,
alarm,verb,B1,,,
alarm clock,noun,A2,,,"House and home, environment"
album,noun,A1,Objects and rooms,,Daily life
alcohol,noun,B1,Food and drink,,Food and drink
alcoholic,adjective,B1,,,
alcoholic,noun,B2,"News, lifestyles and current affairs",,Food and drink
alcoholism,noun,B2,"News, lifestyles and current affairs",,
alert,verb,B2,,,
alike,adjective,B1,,,
alike,adverb,B1,,,
alive,adjective,A2,,,
all,adverb,A2,,,
all,determiner,A1,,,
all,pronoun,A1,,,
all right,adjective,A1,,,
all right,adverb,A1,,,
allegation,noun,B2,,,
allergic,adjective,B1,,,
alliance,noun,B2,"News, lifestyles and current affairs",,
allow,verb,A2,,,
allowance,noun,B1,,,
ally,noun,B2,"News, lifestyles and current affairs",,
almost,adverb,A1,,,
alone,adjective,A2,,,
alone,adverb,A1,,,
along,adverb,A1,,,
along,preposition,A2,,,
alongside,preposition,B2,,,
aloud,adverb,B1,,,
alphabet,noun,B1,Books and literature,,Language
alphabetical,adjective,B2,,,
already,adverb,A1,,,
alright,adjective,A2,,,
alright,adverb,A2,,,
also,adverb,A1,,,
altar,noun,B2,Books and literature,,
alter,verb,B2,,,
alternate,verb,B2,,,
alternative,adjective,B1,,,
alternative,noun,B1,,,
alternatively,adverb,B2,,,
although,conjunction,A2,,,
altitude,noun,B2,,,
altogether,adverb,B1,,,
aluminum/aluminium,noun,B2,Education,,
always,adverb,A1,,,
am,be-verb,A1,,,
amaze,verb,B2,,,
amazed,adjective,B1,,,
amazement,noun,B2,,,
amazing,adjective,B1,,,
amazingly,adverb,B2,,,
ambassador,noun,B2,"News, lifestyles and current affairs",,
ambiguity,noun,B2,,,
ambiguous,adjective,B2,,,
ambition,noun,A2,,,
ambitious,adjective,B1,,,
ambulance,noun,B1,"Things in the town, shops and shopping",,Travel
ammonia,noun,B2,Education,,
among,preposition,A2,,,
amongst,preposition,B2,,,
amount,noun,B1,,,
ample,adjective,B2,,,
amplifier,noun,B2,,,
amplify,verb,B2,,,
amuse,verb,B2,,,
amused,adjective,A2,,,
amusement,noun,A2,Hobbies and pastimes,,"Free time, entertainment"
amusing,adjective,B1,,,
an,determiner,A1,,,
analogy,noun,B2,,,
analysis,noun,B1,Education,,
analyst,noun,B2,,,Personal identification
analyze/analyse,verb,B1,,,
ancestor,noun,A2,Education,,Relations with other people
anchor,noun,B2,,,
anchorage,noun,B2,,,
anchorman,noun,B2,Hobbies and pastimes,,"Free time, entertainment"
anchorperson,noun,B2,Hobbies and pastimes,,"Free time, entertainment"
ancient,adjective,A2,,,
and,conjunction,A1,,,
angel,noun,A2,Books and literature,,"Free time, entertainment"
anger,noun,B1,,,
angle,noun,B1,,,
angrily,adverb,A2,,,
angry,adjective,A1,,,
anguish,noun,B2,,,
animal,noun,A1,,,
animate,verb,B2,,,
animated,adjective,B1,,,
animation,noun,B1,Hobbies and pastimes,Media,"Free time, entertainment"
ankle,noun,A2,Personal information,,Health and body care
anniversary,noun,A2,Family life,,Daily life
announce,verb,B1,,,
announcement,noun,B1,"News, lifestyles and current affairs",,
annoy,verb,A2,,,
annoyance,noun,B1,,,
annoyed,adjective,B1,,,
annoying,adjective,A2,,,
annual,adjective,B1,,,
annually,adverb,B1,,,
anonymous,adjective,B2,,,
another,determiner,A1,,,
another,pronoun,A2,,,
answer,noun,A1,,,
answer,verb,A1,,,
ant,noun,B1,,,
anti,adjective,B1,,,
antiaircraft,adjective,B2,,,
antibacterial,adjective,B2,,,
anticancer,noun,B2,Travel and services vocab,,Health and body care
anticipate,verb,B2,,,
anticipation,noun,B2,,,
antipollution,noun,B2,"News, lifestyles and current affairs",,
antique,adjective,B2,,,
antique,noun,B1,Objects and rooms,,Shopping
antistatic,adjective,B2,,,
antivirus,noun,B2,Travel and services vocab,,Health and body care
antonym,noun,B1,Education,,
anxiety,noun,B1,,,
anxious,adjective,A2,,,
anxiously,adverb,B1,,,
any,determiner,A1,,,
any,pronoun,A1,,,
anybody,pronoun,A1,,,
anyhow,adverb,B1,,,
anymore,adverb,A2,,,
anyone,pronoun,A1,,,
anything,pronoun,A1,,,
anyway,adverb,A2,,,
anywhere,adverb,A2,,,
apart,adverb,A2,,,
apartment,noun,A2,"Things in the town, shops and shopping",,Places
ape,noun,B1,Education,,
apologize/apologise,verb,A2,,,
apology,noun,B1,,,
apostrophe,noun,B2,,,Language
apparent,adjective,B1,,,
apparently,adverb,A2,,,
appeal,noun,B1,,,
appeal,verb,B2,,,
appear,verb,A2,,,
appearance,noun,A2,,,
appetite,noun,B1,Food and drink,,Food and drink
applaud,verb,B1,,,
applause,noun,B1,,,
apple,noun,A1,Food and drink,,Food and drink
applicant,noun,B2,Education,,
application,noun,B1,Work and Jobs,Education,
apply,verb,A2,,,
appoint,verb,B1,,,
appointment,noun,A2,Work and Jobs,,
appreciate,verb,A2,,,
appreciation,noun,B1,,,
appreciative,adjective,B2,,,
approach,noun,B1,,,
approach,verb,B2,,,
appropriate,adjective,A2,,,
appropriately,adverb,B2,,,
approval,noun,B1,,,
approve,verb,B1,,,
approximate,adjective,B2,,,
approximately,adverb,B1,,,
April,noun,A1,,,
apron,noun,A1,Objects and rooms,,Shopping
arch,noun,B2,"Things in the town, shops and shopping",,"House and home, environment"
archaeologist/archeologist,noun,B2,Work and Jobs,,Personal identification
architect,noun,B1,Work and Jobs,,Personal identification
architecture,noun,A2,"Things in the town, shops and shopping",Arts,"House and home, environment"
arctic,adjective,B2,,,
are,be-verb,A1,,,
area,noun,A2,Travel and services vocab,,
arena,noun,B2,"Things in the town, shops and shopping",Leisure activities,"House and home, environment"
argue,verb,A2,,,
argument,noun,A2,,,
arise,verb,B1,,,
aristocracy,noun,B2,,,
arithmetic,noun,B1,Education,,
arm,noun,A1,Personal information,,Health and body care
arm,verb,B1,,,
armchair,noun,A2,,,"House and home, environment"
armed,adjective,A2,,,
armful,noun,B2,Idiomatic expressions,,
army,noun,B1,Work and Jobs,"Things in the town, shops and shopping",Relations with other people
around,adverb,A2,,,
around,preposition,A1,,,
arouse,verb,B2,,,
arrange,verb,B1,,,
arrangement,noun,B1,,,
arrest,noun,B1,"News, lifestyles and current affairs",,Relations with other people
arrest,verb,B1,,,
arrival,noun,B1,Travel and services vocab,,Travel
arrive,verb,A1,,,
arrogant,adjective,B2,,,
arrow,noun,B1,Hobbies and pastimes,,"Free time, entertainment"
art,noun,A1,Hobbies and pastimes,Education,"Free time, entertainment"
artery,noun,B2,,,
article,noun,A1,Shopping,,"Free time, entertainment"
articulate,verb,B2,,,
artificial,adjective,A2,,,
artificially,adverb,B2,,,
artist,noun,B1,Work and Jobs,Arts,Personal identification
artistic,adjective,B1,,,
artistry,noun,B2,Arts,,"Free time, entertainment"
as,conjunction,A2,,,
as,preposition,A1,,,
ash,noun,B2,,,
ashamed,adjective,B1,,,
aside,adverb,B1,,,
ask,verb,A1,,,
asleep,adjective,A2,,,
aspect,noun,B1,,,
aspiration,noun,B2,,,
aspire,verb,B2,,,
aspirin,noun,B1,,,
assault,noun,B2,"News, lifestyles and current affairs",,
assemble,verb,B2,,,
assembly,noun,B2,Education,Leisure activities,
assert,verb,B2,,,
assess,verb,B2,,,
assessment,noun,B2,Education,,
assign,verb,B1,,,
assignment,noun,B1,Education,,
assist,verb,B1,,,
assistance,noun,B1,Work and Jobs,,
assistant,adjective,A2,,,
assistant,noun,B1,Work and Jobs,,Personal identification
associate,verb,B1,,,
association,noun,A2,"Things in the town, shops and shopping",,Relations with other people
assume,verb,B1,,,
assumption,noun,B2,,,
assurance,noun,B2,,,
assure,verb,B2,,,
astonish,verb,B2,,,
astonished,adjective,B2,,,
astonishing,adjective,B2,,,
astonishment,noun,B2,,,
astronaut,noun,A2,Work and Jobs,,Personal identification
astronomer,noun,B1,Work and Jobs,,Personal identification
astronomy,noun,B2,Education,,
at,preposition,A1,,,
athlete,noun,A2,Work and Jobs,Leisure activities,Personal identification
athletic,adjective,B1,,,
athletics,noun,B2,Leisure activities,Hobbies and pastimes,"Free time, entertainment"
Atlantic,adjective,B1,,,
atmosphere,noun,B1,,,
atom,noun,A2,Education,,
atomic,adjective,B1,,,
attach,verb,B1,,,
attached,adjective,B2,,,
attachment,noun,B1,,,
attack,noun,A2,"News, lifestyles and current affairs",,Relations with other people
attack,verb,A2,,,
attain,verb,B1,,,
attainable,adjective,B2,,,
attainment,noun,B2,,,
attempt,noun,A2,,,
attempt,verb,B1,,,
attend,verb,B1,,,
attendance,noun,B2,,,
attention,noun,A2,,,
attentive,adjective,B2,,,
attentively,adverb,B2,,,
attitude,noun,A2,,,
attract,verb,B1,,,
attraction,noun,B1,,,
attractive,adjective,A2,,,
attractiveness,noun,B2,,,
attribute,noun,B2,,,
attribute,verb,B2,,,
atypical,adjective,B2,,,
aubergine,noun,B2,,,Food and drink
audience,noun,A2,Media,,"Free time, entertainment"
audio,adjective,A2,,,
audit,noun,B2,Work and Jobs,,Personal identification
audition,noun,B2,,,
August,noun,A1,,,
aunt,noun,A1,Family life,,Personal identification
author,noun,A2,Education,,"Free time, entertainment"
authoritative,adjective,B2,,,
authority,noun,B1,,,
authorize/authorise,verb,B2,,,
automatic,adjective,A2,,,
automatically,adverb,A2,,,
autumn,noun,A1,,,
auxiliary,adjective,B1,,,
availability,noun,B2,,,
available,adjective,B1,,,
avenue,noun,B1,"Things in the town, shops and shopping",,"House and home, environment"
average,adjective,A2,,,
average,noun,A2,,,
avoid,verb,A2,,,
await,verb,B2,,,
awake,adjective,A1,,,
award,noun,A2,Media,,"Free time, entertainment"
award,verb,B1,,,
aware,adjective,B1,,,
awareness,noun,B1,,,
away,adverb,A1,,,
awe,noun,B2,,,
awesome,adjective,B1,,,
awful,adjective,A2,,,
awkward,adjective,B1,,,
ax/axe,noun,B2,Objects and rooms,,Shopping
axis,noun,B2,,,
baby,noun,A1,Family life,,Personal identification
babysit,verb,B1,,,
babysitter,noun,B1,Work and Jobs,,Personal identification
back,adjective,A2,,,
back,adverb,A1,,,
back,noun,A1,,,Health and body care
back,verb,B1,,,
backache,noun,B1,,,
background,noun,A2,Personal information,,
backpack,noun,B1,Objects and rooms,,Shopping
backpacker,noun,B1,Travel and services vocab,Leisure activities,Travel
backpacking,noun,B1,Travel and services vocab,Leisure activities,Travel
backup,noun,B2,,,
backward/backwards,adverb,B2,,,
backyard,noun,B2,Objects and rooms,,"House and home, environment"
bacon,noun,B1,Food and drink,,Food and drink
bad,adjective,A1,,,
badge,noun,B2,,,
badly,adverb,A2,,,
badminton,noun,A2,,,"Free time, entertainment"
bad-tempered,adjective,B2,,,
bag,noun,A1,Shopping,Clothes,Shopping
baggage,noun,B1,Travel and services vocab,,Travel
bake,verb,A2,,,
baker,noun,B1,Work and Jobs,,Personal identification
bakery,noun,B1,"Things in the town, shops and shopping",,Shopping
balance,noun,B1,,,
balance,verb,B2,,,
balanced,adjective,B2,,,
balcony,noun,A2,Objects and rooms,,"House and home, environment"
bald,adjective,B1,,,
balky,adjective,B2,,,
ball,noun,A1,Hobbies and pastimes,,"Free time, entertainment"
ballad,noun,B2,Arts,,"Free time, entertainment"
ballet,noun,B2,Arts,Hobbies and pastimes,"Free time, entertainment"
balloon,noun,A2,"Things in the town, shops and shopping",,
ballot,noun,B2,,,
ban,noun,B2,"News, lifestyles and current affairs",,
ban,verb,B2,,,
banana,noun,A1,Food and drink,,Food and drink
band,noun,A1,Clothes,,Shopping
bandage,noun,B1,,,
bang,noun,B1,,,
bang,verb,B1,,,
bank,noun,A1,"Things in the town, shops and shopping",,Services
bank,verb,A2,,,
bank account,noun,B1,Travel and services vocab,,Travel
banker,noun,B2,Work and Jobs,,Personal identification
banking,noun,A2,Travel and services vocab,,Services
bankrupt,verb,B2,,,
bankruptcy,noun,B2,"News, lifestyles and current affairs",,
bar,noun,A1,"Things in the town, shops and shopping",,Food and drink
bar,verb,B1,,,
barbecue,noun,A2,,,"Free time, entertainment"
barbecue,verb,B1,,,
barber,noun,A2,"Things in the town, shops and shopping",Work and Jobs,Services
barbershop,noun,B2,"Things in the town, shops and shopping",,"House and home, environment"
bare,adjective,B1,,,
bare,verb,B2,,,
barely,adverb,B1,,,
bargain,noun,A2,Shopping,,Shopping
bargain,verb,B2,,,
bark,noun,B1,,,
bark,verb,B2,,,
barley,noun,B2,Food and drink,,Food and drink
barman,noun,B1,Work and Jobs,,Personal identification
barn,noun,B2,Objects and rooms,,"House and home, environment"
barometer,noun,B2,Education,,
barrel,noun,B1,,,
barren,adjective,B2,,,
barrier,noun,B2,"News, lifestyles and current affairs",,
bartender,noun,B2,Work and Jobs,,Personal identification
base,noun,A2,,,
base,verb,B1,,,
baseball,noun,A1,Hobbies and pastimes,,"Free time, entertainment"
basement,noun,B1,Objects and rooms,,"House and home, environment"
basic,adjective,A2,,,
basically,adverb,A2,,,
basin,noun,B1,Objects and rooms,,Shopping
basis,noun,B1,Education,,
basket,noun,A2,Objects and rooms,,Shopping
basketball,noun,A1,Hobbies and pastimes,,"Free time, entertainment"
bat,noun,A1,,,"Free time, entertainment"
bat,verb,B1,,,
batch,noun,A2,Collocation,,Language
bath,noun,A1,Objects and rooms,,"House and home, environment"
bathe,verb,B1,,,
bathhouse,noun,B2,"Things in the town, shops and shopping",,"House and home, environment"
bathroom,noun,A1,Objects and rooms,,"House and home, environment"
battery,noun,A2,,,
battle,noun,B1,"News, lifestyles and current affairs",,Relations with other people
battlefield,noun,B2,"News, lifestyles and current affairs",,
bay,noun,A2,,,"House and home, environment"
be,be-verb,A1,,,
beach,noun,A1,Holidays,Travel and services vocab,"House and home, environment"
beagle,noun,B2,,,
beak,noun,B2,,,
beam,noun,B2,,,
bean,noun,A1,Food and drink,,Food and drink
bear,noun,A1,,,
bear,verb,A2,,,
beard,noun,B1,,,Health and body care
bearing,noun,B2,,,
beast,noun,B1,,,
beat,noun,B2,,,
beat,verb,B1,,,
beautiful,adjective,A1,,,
beautifully,adverb,B1,,,
beautify,verb,B2,,,
beauty,noun,A2,Hobbies and pastimes,,"Free time, entertainment"
beaver,noun,B1,Education,,
because,conjunction,A1,,,
because of,preposition,B1,,,
become,verb,A1,,,
bed,noun,A1,Objects and rooms,,"House and home, environment"
bedroom,noun,A1,Objects and rooms,,"House and home, environment"
bedside,noun,B1,Objects and rooms,,
bee,noun,A1,Education,,
beef,noun,A1,Food and drink,,Food and drink
been,be-verb,A2,,,
beer,noun,A2,Food and drink,,Food and drink
before,adverb,A1,,,
before,conjunction,A2,,,
before,preposition,A1,,,
beg,verb,A2,,,
begin,verb,A1,,,
beginner,noun,A2,,,Personal identification
beginning,noun,A2,,,
behalf,noun,B1,,,
behave,verb,B1,,,
behavior/behaviour,noun,A2,,,
behind,adverb,A1,,,
behind,preposition,A1,,,
being,noun,A2,Collocation,,Language
belief,noun,B1,,,
believe,verb,A1,,,
bell,noun,A1,Objects and rooms,,Shopping
bellow,verb,B2,,,
belly,noun,A2,,,
belong,verb,A2,,,
belongings,noun,B2,,,
beloved,adjective,B1,,,
below,adverb,A1,,,
below,preposition,A1,,,
belt,noun,A2,,,Shopping
bench,noun,A2,"Things in the town, shops and shopping",,"House and home, environment"
bend,noun,B2,,,
bend,verb,A2,,,
beneath,preposition,B1,,,
beneficial,adjective,B2,,,
benefit,noun,B1,Work and Jobs,,
benefit,verb,B2,,,
benevolence,noun,B2,,,
benevolent,adjective,B2,,,
bent,adjective,B1,,,
berry,noun,B2,,,Food and drink
beside,preposition,A1,,,
besides,adverb,A2,,,
besides,preposition,B1,,,
best,adjective,A1,,,
best,adverb,A1,,,
bestow,verb,B2,,,
bestseller,noun,B2,,,
bet,verb,B1,,,
betray,verb,B2,,,
better,adjective,A1,,,
better,adverb,A2,,,
between,preposition,A1,,,
bewilder,verb,B2,,,
bewilderment,noun,B2,,,
beyond,preposition,A2,,,
bicycle,noun,A1,Leisure activities,,"Free time, entertainment"
bid,verb,B2,,,
bidding,noun,B2,Work and Jobs,,
big,adjective,A1,,,
bike,noun,A1,Leisure activities,Ways of travelling,Travel
bikini,noun,B2,,,Shopping
bilingual,adjective,B1,,,
bill,noun,A2,Shopping,,Shopping
bill,verb,B1,,,
billion,noun,B2,,,
bin,noun,B1,Objects and rooms,,"House and home, environment"
bind,verb,B2,,,
bio,noun,B2,Education,,
biochemistry,noun,B1,Education,,Education
biography,noun,B1,Education,,
biological,adjective,B2,,,
biology,noun,B1,Education,,Education
biotechnology,noun,B2,Education,Work and Jobs,
bird,noun,A1,,,
birdcage,noun,B2,Objects and rooms,,"House and home, environment"
birth,noun,A1,Family life,,Daily life
birthday,noun,A1,Personal information,,Personal identification
birthplace,noun,B2,Personal information,,Personal identification
biscuit,noun,A1,Food and drink,,Food and drink
bishop,noun,B1,Work and Jobs,,Personal identification
bit,noun,A2,Collocation,,Language
bite,noun,A2,,,
bite,verb,B1,,,
bitter,adjective,B1,,,
bitterly,adverb,B2,,,
bizarre,adjective,B2,,,
black,adjective,A1,,,
black,noun,A1,Colours,,
blackboard,noun,A2,Education,,Education
blade,noun,B2,,,
blame,noun,B1,,,
blame,verb,A2,,,
blank,adjective,A1,,,
blanket,noun,A2,Objects and rooms,,Shopping
blast,noun,B2,"News, lifestyles and current affairs",,
blast,verb,B2,,,
blaze,noun,B2,,,
blaze,verb,B2,,,
bleed,verb,B1,,,
blend,noun,B2,,,
blend,verb,B1,,,
bless,verb,B1,,,
blessing,noun,B1,,,
blind,adjective,B1,,,
blindly,adverb,B2,,,
blindness,noun,B2,,,
blink,verb,B2,,,
block,noun,A1,"Things in the town, shops and shopping",,"House and home, environment"
block,verb,B1,,,
blog,noun,B1,Hobbies and pastimes,"News, lifestyles and current affairs","Free time, entertainment"
blogger,noun,B1,Hobbies and pastimes,"News, lifestyles and current affairs","Free time, entertainment"
blonde,adjective,A2,,,
blood,noun,A2,,,
bloodstream,noun,B2,,,
bloody,adjective,B2,,,
bloody,adverb,B2,,,
bloom,noun,A2,"Things in the town, shops and shopping",,
blooming,adjective,B2,,,
blossom,noun,B2,"Things in the town, shops and shopping",,
blow,noun,A2,,,
blow,verb,A1,,,
blue,adjective,A1,,,
blue,noun,A1,Colours,,
blur,verb,B2,,,
blurt,noun,B2,,,
blush,noun,B1,,,
blush,verb,B2,,,
board,noun,A1,Objects and rooms,,"House and home, environment"
board,verb,B1,,,
board game,noun,A2,,,"Free time, entertainment"
boast,verb,B1,,,
boat,noun,A1,Ways of travelling,Leisure activities,Travel
body,noun,A1,,,Health and body care
boil,verb,A2,,,
boiled,adjective,A2,,,
boiling,adjective,B2,,,
bold,adjective,B1,,,
bold,noun,B2,,,
boldly,adverb,B1,,,
bolt,noun,B2,,,
bolt,verb,B2,,,
bomb,noun,B1,"News, lifestyles and current affairs",,Relations with other people
bomb,verb,B1,,,
bombard,noun,B2,Education,,
bomber,noun,B2,"News, lifestyles and current affairs",,Relations with other people
bombing,noun,B2,,,
bond,noun,B1,,,
bone,noun,A1,,,
bonus,noun,A2,Work and Jobs,,Services
bony,adjective,B2,,,
book,noun,A1,Objects and rooms,,"Free time, entertainment"
book,verb,B1,,,
bookcase,noun,A2,,,Shopping
booking,noun,B1,Travel and services vocab,,Travel
bookish,adjective,B2,,,
booklet,noun,B2,,,
bookmark,noun,B2,,,
bookmark,verb,B2,,,
bookshelf,noun,A2,,,"House and home, environment"
bookshop,noun,A2,,,Shopping
bookstore,noun,A1,"Things in the town, shops and shopping",,Shopping
boom,noun,B1,,,
boost,noun,B2,,,
boost,verb,B2,,,
boot,noun,B1,Clothes,,Shopping
booth,noun,B2,Objects and rooms,,
border,noun,B1,,,
bore,verb,B1,,,
bored,adjective,A2,,,
boredom,noun,B1,,,
boring,adjective,A1,,,
borrow,verb,A1,,,
boss,noun,A2,Work and Jobs,,Personal identification
bossy,adjective,B2,,,
botany,noun,B2,Education,,
both,adverb,A1,,,
both,determiner,A1,,,
both,pronoun,A1,,,
bother,noun,B1,,,
bother,verb,A2,,,
bothered,adjective,B2,,,
bothersome,adjective,B2,,,
bottle,noun,A1,Food and drink,,Shopping
bottle,verb,B2,,,
bottom,noun,A1,,,
bounce,noun,B2,,,
bounce,verb,B1,,,
bound,adjective,B1,,,
bourbon,noun,B2,Food and drink,,Food and drink
bow,noun,B1,Hobbies and pastimes,,
bow,verb,B2,,,
bowl,noun,A1,Objects and rooms,,Shopping
bowl,verb,B1,,,
box,noun,A1,Objects and rooms,,Shopping
boxer,noun,B2,Work and Jobs,Hobbies and pastimes,Personal identification
boxing,noun,B1,Leisure activities,,"Free time, entertainment"
boy,noun,A1,Personal information,,Personal identification
boyfriend,noun,A1,Personal information,,Personal identification
bra,noun,A2,Clothes,,Shopping
bracelet,noun,B1,Clothes,,Shopping
bracket,noun,B2,,,
brag,noun,B2,,,
brain,noun,A1,,,Health and body care
brainstorm,noun,A2,,,
brainstorming,noun,B1,,,
brake,noun,A2,,,
brake,verb,B2,,,
branch,noun,A2,"Things in the town, shops and shopping",,Services
branch,verb,B1,,,
brand,noun,A2,Shopping,,Shopping
brand-new,adjective,B1,,,
brass,noun,B1,,,
brave,adjective,A2,,,
bravely,adverb,B1,,,
bravery,noun,B2,,,
bread,noun,A1,Food and drink,,Food and drink
break,noun,A2,,,
break,verb,A1,,,
breakable,adjective,B2,,,
breakdown,noun,B2,,,
breakfast,noun,A1,Food and drink,,Food and drink
breakthrough,noun,B1,,,
breakup,noun,B2,,,
breast,noun,B1,,,Health and body care
breath,noun,B1,,,Health and body care
breathe,verb,A1,,,
breathless,adjective,B1,,,
breathtaking,adjective,B2,,,
breed,noun,B2,,,
breed,verb,B1,,,
breeding,noun,B1,Education,Scientific development,
breeze,noun,A2,,,Weather
breezy,adjective,B2,,,
brewery,noun,B2,"Things in the town, shops and shopping",,"House and home, environment"
brick,noun,B1,Objects and rooms,,
